Sentence #,Word,POS,Tag
Sentence: 47960,There,EX,O
Sentence: 47960,is,VBZ,O
Sentence: 47960,a,DT,O
Sentence: 47960,heavy,JJ,O
Sentence: 47960,downpour,NN,Dis
Sentence: 47960,in,IN,O
Sentence: 47960,kerala,NN,B-geo
Sentence: 47960,since,IN,O
Sentence: 47960,yesterday,NN,B-tim
Sentence: 47960,.,.,O
Sentence: 47960,people,NNS,O
Sentence: 47960,are,VBP,O
Sentence: 47960,suffering,VBG,Dis-impact
Sentence: 47960,as,IN,O
Sentence: 47960,the,DT,O
Sentence: 47960,flood,NN,Dis
Sentence: 47960,has,VBZ,O
Sentence: 47960,taken,VBN,O
Sentence: 47960,away,RBS,O
Sentence: 47960,a,DT,O
Sentence: 47960,lot,NN,O
Sentence: 47960,of,IN,O
Sentence: 47960,their,PRP$,O
Sentence: 47960,belongings,NNS,O
Sentence: 47960,.,.,O
Sentence: 47961,There,EX,O
Sentence: 47961,is,VBZ,O
Sentence: 47961,a,DT,O
Sentence: 47961,huge,JJ,O
Sentence: 47961,flood,NN,Dis
Sentence: 47961,in,IN,O
Sentence: 47961,"kerala,",NN,B-geo
Sentence: 47961,its,PRP$,O
Sentence: 47961,the,DT,O
Sentence: 47961,biggest,JJS,O
Sentence: 47961,hit,NN,Dis-impact
Sentence: 47961,since,IN,O
Sentence: 47961,1989,CD,B-tim
Sentence: 47962,A,DT,O
Sentence: 47962,Suicide-bomnimg,NN,Dis
Sentence: 47962,killed,VBD,Dis-impact
Sentence: 47962,nearly,RBS,O
Sentence: 47962,122,CD,Dis-impact
Sentence: 47962,members,NNS,Dis-impact
Sentence: 47962,who,WP,O
Sentence: 47962,were,VBD,O
Sentence: 47962,inside,VBP,O
Sentence: 47962,the,DT,O
Sentence: 47962,shopping,NN,O
Sentence: 47962,mall,NN,B-gpe
Sentence: 47962,in,IN,O
Sentence: 47962,Madurai.,NNP,B-geo
Sentence: 47963,there,VBZ,O
Sentence: 47963,is,DT,O
Sentence: 47963,a,NN,O
Sentence: 47963,tsunami,NN,Dis
Sentence: 47963,warning,IN,Dis-impact
Sentence: 47963,along,DT,O
Sentence: 47963,the,NNS,O
Sentence: 47963,coasts,IN,B-geo
Sentence: 47963,of,NN,O
Sentence: 47963,bay,IN,I-geo
Sentence: 47963,of,NN,O
Sentence: 47963,bengal,IN,I-geo
Sentence: 47963,since,NN,B-tim
Sentence: 47963,yesterday,NN,B-tim
Sentence: 47964,epicenter,NN,Dis
Sentence: 47964,has,VBZ,O
Sentence: 47964,found,VBN,O
Sentence: 47964,itself,PRP,O
Sentence: 47964,in,IN,O
Sentence: 47964,the,DT,O
Sentence: 47964,arabian,JJ,B-geo
Sentence: 47964,sea,NN,B-geo
Sentence: 47964,5km,CD,O
Sentence: 47964,from,IN,O
Sentence: 47964,mumbai,NN,I-geo
Sentence: 47964,'s,POS,O
Sentence: 47964,coast,NN,B-gpe
Sentence: 47964,.,.,O
Sentence: 47965,The,DT,O
Sentence: 47965,Indo-Gangetic,JJ,B-geo
Sentence: 47965,Plain,NNP,B-geo
Sentence: 47965,(,(,O
Sentence: 47965,excluding,VBG,O
Sentence: 47965,West,NNP,B-geo
Sentence: 47965,Bengal,NNP,B-geo
Sentence: 47965,and,CC,O
Sentence: 47965,Assam,NNP,B-geo
Sentence: 47965,),),O
Sentence: 47965,and,CC,O
Sentence: 47965,Meghalaya,NNP,B-geo
Sentence: 47965,are,VBP,O
Sentence: 47965,most,RBS,O
Sentence: 47965,susceptible,JJ,O
Sentence: 47965,to,TO,O
Sentence: 47965,future,JJ,O
Sentence: 47965,floods,NNS,Dis
Sentence: 47965,in,IN,O
Sentence: 47965,India,NNP,B-geo
Sentence: 47965,and,CC,O
Sentence: 47965,need,MD,O
Sentence: 47965,to,TO,O
Sentence: 47965,employ,VB,O
Sentence: 47965,flood,NN,Dis
Sentence: 47965,protection,NN,Dis-impact
Sentence: 47965,for,IN,O
Sentence: 47965,the,DT,O
Sentence: 47965,next,JJ,O
Sentence: 47965,"875-1,000",CD,O
Sentence: 47965,years,NNS,B-tim
Sentence: 47965,",",",",O
Sentence: 47965,an,DT,O
Sentence: 47965,analysis,NN,O
Sentence: 47965,by,IN,O
Sentence: 47965,Down,NNP,B-org
Sentence: 47965,To,TO,O
Sentence: 47965,Earth,NNP,B-org
Sentence: 47965,(,(,O
Sentence: 47965,DTE,NNP,O
Sentence: 47965,),),O
Sentence: 47965,has,VBZ,O
Sentence: 47965,found,VBN,O
Sentence: 47965,.,.,O
Sentence: 47966,A,DT,O
Sentence: 47966,new,JJ,O
Sentence: 47966,virus,NN,Dis
Sentence: 47966,has,VBZ,O
Sentence: 47966,started,VBN,O
Sentence: 47966,spreading,VBG,Dis-impact
Sentence: 47966,across,IN,O
Sentence: 47966,the,DT,O
Sentence: 47966,world,NN,B-gpe
Sentence: 47966,",",",",O
Sentence: 47966,scientists,NNS,B-org
Sentence: 47966,say,VBP,O
Sentence: 47966,the,DT,O
Sentence: 47966,virus,NN,Dis
Sentence: 47966,could,MD,O
Sentence: 47966,have,VB,O
Sentence: 47966,originated,VBN,O
Sentence: 47966,from,IN,O
Sentence: 47966,the,DT,O
Sentence: 47966,villages,NNS,B-geo
Sentence: 47966,of,IN,O
Sentence: 47966,North-India,NNP,B-geo
Sentence: 47966,.,.,O
